"","Survived","Pclass","Sex","Age","Fare","Embarked","Titol","Isalone","Fare_disc"
"1","0",3,0,2,7.25,"0","1",1,"Q1"
"2","1",1,1,3,71.2833,"1","1",1,"Q4"
"3","1",3,1,2,7.925,"0","2",0,"Q2"
"4","1",1,1,3,53.1,"0","1",1,"Q4"
"5","0",3,0,3,8.05,"0","1",0,"Q2"
"6","0",3,0,2,8.4583,"2","1",0,"Q2"
"7","0",1,0,4,51.8625,"0","1",0,"Q4"
"8","0",3,0,1,21.075,"0","4",1,"Q3"
"9","1",3,1,2,11.1333,"0","1",1,"Q2"
"10","1",2,1,1,30.0708,"1","1",1,"Q3"
"11","1",3,1,1,16.7,"0","2",1,"Q3"
"12","1",1,1,4,26.55,"0","2",0,"Q3"
"13","0",3,0,2,8.05,"0","1",0,"Q2"
"14","0",3,0,3,31.275,"0","1",1,"Q4"
"15","0",3,1,1,7.8542,"0","2",0,"Q1"
"16","1",2,1,4,16,"0","1",0,"Q3"
"17","0",3,0,1,29.125,"2","4",1,"Q3"
"18","1",2,0,2,13,"0","1",0,"Q2"
"19","0",3,1,2,18,"0","1",1,"Q3"
"20","1",3,1,2,7.225,"1","1",0,"Q1"
"21","0",2,0,3,26,"0","1",0,"Q3"
"22","1",2,0,3,13,"0","1",0,"Q2"
"23","1",3,1,1,8.0292,"2","2",0,"Q2"
"24","1",1,0,2,35.5,"0","1",0,"Q4"
"25","0",3,1,1,21.075,"0","2",1,"Q3"
"26","1",3,1,3,31.3875,"0","1",1,"Q4"
"27","0",3,0,2,7.225,"1","1",0,"Q1"
"28","0",1,0,2,263,"0","1",1,"Q4"
"29","1",3,1,2,7.8792,"2","2",0,"Q1"
"30","0",3,0,2,7.8958,"0","1",0,"Q1"
"31","0",1,0,3,27.7208,"1","1",0,"Q3"
"32","1",1,1,3,146.5208,"1","1",1,"Q4"
"33","1",3,1,2,7.75,"2","2",0,"Q1"
"34","0",2,0,5,10.5,"0","1",0,"Q2"
"35","0",1,0,2,82.1708,"1","1",1,"Q4"
"36","0",1,0,3,52,"0","1",1,"Q4"
"37","1",3,0,2,7.2292,"1","1",0,"Q1"
"38","0",3,0,2,8.05,"0","1",0,"Q2"
"39","0",3,1,2,18,"0","2",1,"Q3"
"40","1",3,1,1,11.2417,"1","2",1,"Q2"
"41","0",3,1,3,9.475,"0","1",1,"Q2"
"42","0",2,1,2,21,"0","1",1,"Q3"
"43","0",3,0,2,7.8958,"1","1",0,"Q1"
"44","1",2,1,1,41.5792,"1","2",1,"Q4"
"45","1",3,1,2,7.8792,"2","2",0,"Q1"
"46","0",3,0,2,8.05,"0","1",0,"Q2"
"47","0",3,0,2,15.5,"2","1",1,"Q3"
"48","1",3,1,2,7.75,"2","5",0,"Q1"
"49","0",3,0,2,21.6792,"1","1",1,"Q3"
"50","0",3,1,2,17.8,"0","1",1,"Q3"
"51","0",3,0,1,39.6875,"0","4",1,"Q4"
"52","0",3,0,2,7.8,"0","1",0,"Q1"
"53","1",1,1,4,76.7292,"1","1",1,"Q4"
"54","1",2,1,2,26,"0","1",1,"Q3"
"55","0",1,0,5,61.9792,"1","1",1,"Q4"
"56","1",1,0,3,35.5,"0","1",0,"Q4"
"57","1",2,1,2,10.5,"0","2",0,"Q2"
"58","0",3,0,2,7.2292,"1","1",0,"Q1"
"59","1",2,1,1,27.75,"0","2",1,"Q3"
"60","0",3,0,1,46.9,"0","4",1,"Q4"
"61","0",3,0,2,7.2292,"1","1",0,"Q1"
"62","1",1,1,3,80,"0","2",0,"Q4"
"63","0",1,0,3,83.475,"0","1",1,"Q4"
"64","0",3,0,1,27.9,"0","4",1,"Q3"
"65","0",1,0,3,27.7208,"1","1",0,"Q3"
"66","1",3,0,2,15.2458,"1","4",1,"Q3"
"67","1",2,1,2,10.5,"0","1",0,"Q2"
"68","0",3,0,2,8.1583,"0","1",0,"Q2"
"69","1",3,1,2,7.925,"0","2",1,"Q2"
"70","0",3,0,2,8.6625,"0","1",1,"Q2"
"71","0",2,0,3,10.5,"0","1",0,"Q2"
"72","0",3,1,2,46.9,"0","2",1,"Q4"
